Edit...	Modifica...
New...	Nuovo...
Run	Esegui
Run/close	Esegui/chiudi
Audio:	Audio:
Video:	Video:
Size:	Dimensioni:
NONE	NESSUNO
All Channels	Tutti i canali
All tracks	Tutte le tracce
Sends	Mandate
Receives	Ricezioni
Add send to new track	Aggiungi mandata a una nuova traccia
Add receive from new track	Aggiungi ricezione da una nuova traccia
Tempo	Tempo
items	elementi
tracks	tracce
regions	regioni
channel	canale
gain	guadagno
left	sinistra
right	destra
stereo	stereo
Display:	Visualizzazione:
Center	Centro
Delay	Ritardo
Normalize	Normalizza
Solo current band	Metti in solo la banda corrente
Auto makeup gain	Guadagno di compensazione automatico
Brickwall limit	Limitazione brickwall
Monitoring FX...	FX di monitoraggio...
Monitoring FX	FX di monitoraggio
Go to start of project	Vai all'inizio del progetto
Go to end of project	Vai alla fine del progetto
Go to previous marker	Vai al marcatore precedente
Go to next marker	Vai al marcatore successivo
Remove send	Rimuovi mandata
Copy FX	Copia FX
Add FX chain	Aggiungi catena FX
Playrate	Velocità di riproduzione
Set to 1.0	Imposta a 1,0
Move up	Sposta su
Move down	Sposta giù
Delete preset	Elimina preset
Save preset...	Salva preset...
Save preset as default...	Salva preset come predefinito...
Rename preset...	Rinomina preset...
Compatibility settings	Impostazioni compatibilità
Set loop points	Imposta punti del loop
Exclusive solo	Solo esclusivo
Unsolo all	Disattiva tutti i solo
Exclusive mute	Silenziamento esclusivo
Unmute all	Riattiva audio su tutto
Comment	Commento
Path	Percorso
Duplicate custom action	Duplica azione personalizzata
New custom action...	Nuova azione personalizzata...
Automatically delete empty lanes at bottom of track	Elimina automaticamente le corsie vuote in fondo alla traccia
Delete comp areas	Elimina aree di comping
Delete lane (including media items)	Elimina corsia (inclusi gli elementi multimediali)
Duplicate items to new lane	Duplica gli elementi in una nuova corsia
Dynamic split items	Dividi dinamicamente gli elementi
Tempo envelope	Inviluppo del tempo
Track panels	Pannelli traccia
Floating mixer master	Master del mixer flottante
Transport (play/record/stop...)	Trasporto (riproduci/registra/ferma...)
Track wiring	Cablaggio tracce
Project Media/FX Bay	Raccolta media/FX del progetto
Show/hide all floating windows	Mostra/nascondi tutte le finestre flottanti
Cascade all floating windows	Disponi in cascata tutte le finestre flottanti
Time unit for ruler	Unità temporale del righello
Zoom in	Ingrandisci
Zoom out	Riduci zoom
Go to edit cursor	Vai al cursore di modifica
Go to play cursor	Vai al cursore di riproduzione
Move cursor forward one measure	Sposta il cursore avanti di una misura
Always on top	Sempre in primo piano
Media file...	File multimediale...
New MIDI item	Nuovo elemento MIDI
SMPTE LTC/MTC timecode generator	Generatore di timecode SMPTE LTC/MTC
New subproject	Nuovo sottoprogetto
Marker (prompt for name)	Marcatore (chiedi il nome)
Region (from time selection)	Regione (dalla selezione temporale)
Measure from time selection (detect tempo)	Misura dalla selezione temporale (rileva tempo)
Virtual instrument on new track...	Strumento virtuale su una nuova traccia...
Track from template	Traccia da modello
Empty space in time selection	Spazio vuoto nella selezione temporale
Copy loop of selected area of items	Copia in loop l'area selezionata degli elementi
Nudge/set items...	Sposta con precisione/imposta elementi...
Take channel mode: Reverse stereo	Modalità canale take: stereo invertito
Take channel mode: Mono (downmix)	Modalità canale take: mono (downmix)
Peaks	Picchi
Build peaks	Genera picchi
Rebuild peaks for selected items	Rigenera i picchi degli elementi selezionati
Set all media online	Imposta tutti i media online
Set selected media offline	Imposta offline i media selezionati
Overlapping recording behavior	Comportamento registrazioni sovrapposte
Add lanes (new lanes play exclusively)	Aggiungi corsie (le nuove corsie vengono riprodotte in modo esclusivo)
Split existing items and add takes (default)	Dividi gli elementi esistenti e aggiungi take (predefinito)
Ripple edit settings	Impostazioni modifica con propagazione
Ripple per-track affects each track separately	La propagazione per traccia agisce separatamente su ogni traccia
Fixed item lanes	Corsie fisse degli elementi
Track Manager...	Gestione tracce...
Lane Manager...	Gestione corsie...
Set point value...	Imposta valore del punto...
Delete point	Elimina punto
Select envelope	Seleziona inviluppo
Slow start/end	Inizio/fine lento
Fast start	Inizio rapido
Fast end	Fine rapida
Create pooled duplicate	Crea duplicato condiviso
Remove from pool	Rimuovi dal pool
Glue	Consolida
Glue items	Consolida elementi
Automation item options for this envelope	Opzioni elementi di automazione per questo inviluppo
Global automation override	Override globale dell'automazione
Trim/Read	Trim/Read
Touch (record fader movements to armed envelopes)	Touch (registra i movimenti dei fader negli inviluppi abilitati)
Latch	Latch
Write (record fader positions to armed envelopes)	Write (registra le posizioni dei fader negli inviluppi abilitati)
Record mode: time selection auto-punch	Modalità registrazione: auto-punch sulla selezione temporale
Record mode: normal	Modalità registrazione: normale
Record mode: auto-punch selected items	Modalità registrazione: auto-punch sugli elementi selezionati
Render to file...	Esegui rendering su file...
Render project, using the most recent render settings	Esegui il rendering del progetto con le impostazioni più recenti
Render project to disk	Esegui il rendering del progetto su disco
Open render queue	Apri coda di rendering
Add project to render queue	Aggiungi progetto alla coda di rendering
Insert new track	Inserisci nuova traccia
Insert multiple tracks...	Inserisci più tracce...
Remove tracks	Rimuovi tracce
Duplicate tracks	Duplica tracce
Track grouping parameters...	Parametri raggruppamento tracce...
Track grouping matrix	Matrice raggruppamento tracce
Track routing window	Finestra routing traccia
Track routing	Routing traccia
Track channels	Canali traccia
Track color	Colore traccia
Track icon	Icona traccia
Track layout	Layout traccia
Master track	Traccia master
Show master track	Mostra traccia master
Hide master track	Nascondi traccia master
Item properties...	Proprietà elemento...
Take properties...	Proprietà take...
Source properties...	Proprietà sorgente...
Open items in editor	Apri elementi nell'editor
Open items in primary external editor	Apri elementi nell'editor esterno principale
Open items in secondary external editor	Apri elementi nell'editor esterno secondario
Split items at cursor	Dividi elementi al cursore
Split items at time selection	Dividi elementi alla selezione temporale
Glue items within time selection	Consolida elementi nella selezione temporale
Group items	Raggruppa elementi
Ungroup items	Separa elementi dal gruppo
Lock items	Blocca elementi
Unlock items	Sblocca elementi
Mute items	Silenzia elementi
Unmute items	Riattiva audio degli elementi
Item and take colors	Colori elementi e take
Take	Take
Takes	Take
Delete active take	Elimina take attivo
Crop to active take	Ritaglia al take attivo
Explode all takes to new tracks	Distribuisci tutti i take su nuove tracce
Explode all takes (in order)	Distribuisci tutti i take (in ordine)
Implode items across tracks into takes	Raggruppa gli elementi tra tracce in take
Next take	Take successivo
Previous take	Take precedente
Set active take	Imposta take attivo
Take envelopes	Inviluppi take
Take volume envelope	Inviluppo volume take
Take pan envelope	Inviluppo pan take
Take mute envelope	Inviluppo mute take
Take pitch envelope	Inviluppo intonazione take
Show action list...	Mostra elenco azioni...
Action List	Elenco azioni
Main section	Sezione principale
MIDI Editor	Editor MIDI
MIDI event list editor	Editor elenco eventi MIDI
Media Explorer section	Sezione Esplora media
Find shortcut...	Trova scorciatoia...
Add shortcut...	Aggiungi scorciatoia...
Remove shortcut	Rimuovi scorciatoia
New action	Nuova azione
New custom action	Nuova azione personalizzata
New ReaScript	Nuovo ReaScript
Load ReaScript...	Carica ReaScript...
Run selected action	Esegui azione selezionata
Toggle selected action	Attiva/disattiva azione selezionata
Show recent actions	Mostra azioni recenti
Preferences	Preferenze
General	Generale
Audio	Audio
MIDI Devices	Dispositivi MIDI
Appearance	Aspetto
Media	Media
Project	Progetto
Editing Behavior	Comportamento di modifica
Mouse Modifiers	Modificatori mouse
Keyboard/Multitouch	Tastiera/Multitouch
Control/OSC/web	Controllo/OSC/web
External Editors	Editor esterni
Plug-ins/VST	Plug-in/VST
Plug-ins/Compatibility	Plug-in/Compatibilità
Recording	Registrazione
Rendering	Rendering
Paths	Percorsi
Peak/Waveform	Picchi/Forme d'onda
Track Control Panels	Pannelli di controllo tracce
Mixer Control Panels	Pannelli di controllo mixer
Envelope Display	Visualizzazione inviluppi
Grid/Snap	Griglia/Aggancio
Loop points	Punti del loop
Time selection auto-punch	Auto-punch sulla selezione temporale
Auto-crossfade	Crossfade automatico
Metronome enabled	Metronomo attivo
Snap enabled	Aggancio attivo
Locking enabled	Blocco attivo
Ripple editing disabled	Modifica con propagazione disattivata
Ripple editing per-track	Modifica con propagazione per traccia
Ripple editing all tracks	Modifica con propagazione su tutte le tracce
Normal	Normale
Default	Predefinito
None	Nessuno
Enable	Abilita
Disable	Disabilita
On	Attivo
Off	Disattivo
Reset	Ripristina
Refresh	Aggiorna
Properties...	Proprietà...
Settings...	Impostazioni...
Rename...	Rinomina...
Duplicate	Duplica
Move	Sposta
Select	Seleziona
Unselect	Deseleziona
Show	Mostra
Hide	Nascondi
Show all	Mostra tutto
Hide all	Nascondi tutto
Online	Online
Offline	Offline
Source	Sorgente
Destination	Destinazione
Current project	Progetto corrente
New project tab	Nuova scheda progetto
Time	Tempo
Beats	Battiti
Measures	Misure
Seconds	Secondi
Minutes	Minuti
Hours	Ore
Frames	Fotogrammi
Samples	Campioni
Pitch	Intonazione
Rate	Velocità
Fade in	Dissolvenza in entrata
Fade out	Dissolvenza in uscita
Crossfade	Crossfade
Snap	Aggancio
Grid	Griglia
Ruler	Righello
Cursor	Cursore
Edit cursor	Cursore di modifica
Play cursor	Cursore di riproduzione
Loop	Loop
Loop selection	Selezione loop
Selection	Selezione
Folder	Cartella
Folder track	Traccia cartella
Parent track	Traccia principale
Child track	Traccia secondaria
Routing	Routing
Send	Mandata
Receive	Ricezione
Hardware Output	Uscita hardware
Audio Hardware Outputs	Uscite hardware audio
MIDI Hardware Output	Uscita hardware MIDI
Pre-Fader (Post-FX)	Pre-fader (post-FX)
Post-Fader (Post-Pan)	Post-fader (post-pan)
Pre-FX	Pre-FX
Post-FX	Post-FX
Mono	Mono
Stereo	Stereo
Phase	Fase
Invert phase	Inverti fase
Polarity	Polarità
Invert polarity	Inverti polarità
Bypass	Bypass
Wet	Wet
Dry	Dry
Preset	Preset
Presets	Preset
Chain	Catena
FX chain	Catena FX
Add FX	Aggiungi FX
Remove FX	Rimuovi FX
Rename FX instance	Rinomina istanza FX
Floating window	Finestra flottante
Docked	Ancorata
Undocked	Non ancorata
Performance Meter	Misuratore prestazioni
CPU use	Uso CPU
PDC	PDC
Latency	Latenza
Block size	Dimensione blocco
Buffering	Buffering
Anticipative FX processing	Elaborazione FX anticipata
Media buffering	Buffering media
Waveform	Forma d'onda
Waveforms	Forme d'onda
Spectrogram	Spettrogramma
Spectral edits	Modifiche spettrali
Transient	Transiente
Transients	Transienti
Stretch marker	Marcatore di stiramento
Stretch markers	Marcatori di stiramento
Tempo marker	Marcatore tempo
Time signature marker	Marcatore indicazione di tempo
Project marker	Marcatore progetto
Project region	Regione progetto
